"","Mode_Estimate","Mode_Std. Error","Mode_Pr(>|t|)","Mode_FDR","pcor"
"A0A075B6H7",-0.000595759366102568,0.000102266121257092,1.81134227215293e-08,1.95474020203171e-07,-0.339138766948677
"A0A075B6H9",0.000189463383452916,0.000335576219840492,0.573544914911725,0.629441241364986,0.0542882895721069
"A0A075B6I0",-0.00106982384185952,0.000239687882125864,1.26217983283813e-05,5.3590914213947e-05,-0.288282395426105
"A0A075B6I9",-0.000727458458980199,0.00016470571218457,1.54684389335738e-05,6.35924711713592e-05,-0.249858180283468
"A0A075B6J9",-0.000468898398063053,0.000247109928192337,0.0591421084307018,0.0875303204774386,-0.112740255298158
"A0A075B6K4",-0.000777236328385851,0.00026543670957663,0.00384407736482838,0.00777825029289493,-0.196328777578927
"A0A075B6K5",-0.000528889208620874,0.00020316586063014,0.00991815064859871,0.017715869089566,-0.15601077537363
"A0A075B6K5;P80748",-0.000829951230727962,0.000141494943917122,1.47978893471945e-08,1.66637101779277e-07,-0.314351248838325
"A0A075B6P5;P01615",-0.000679854459431871,0.000225891512775177,0.00293736307294051,0.00608621628713274,-0.147698232240541
"A0A075B6Q5",-0.000473301029333897,0.000171318938409169,0.00621708058596362,0.012106946404245,-0.14875144555687
"A0A075B6R2;A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08",-0.000906789843158722,0.000114547920489489,9.00483780510256e-14,7.77417663840521e-12,-0.407935348268839
"A0A075B6R9;A0A0C4DH68",-0.000286324405549429,0.000174130206758008,0.101409235146912,0.138236799489738,-0.104500799022668
"A0A075B6S5;A0A0C4DH67",-0.00103464683681657,0.000166807179120391,2.63203725052364e-09,3.40848823942811e-08,-0.302166100037207
"A0A075B7B8",-0.000542580821400152,0.000105428073846095,5.52484560182721e-07,3.66906413044423e-06,-0.283694653519963
"A0A075B7B8;A0A0B4J1X5;A0A0J9YY99;P01764",-0.000381761704393961,8.90840968172941e-05,2.63016997825911e-05,0.000103214246116532,-0.23486335890574
"A0A075B7D0",-0.000641879662794531,0.000212848596962377,0.00284674051048121,0.00594601445334383,-0.157451959712603
"A0A087WSY6",-0.000563393399325629,0.000112651402050269,1.09604341752218e-06,6.72490849909242e-06,-0.287490162848595
"A0A087WSZ0",-0.00103629390209088,0.000196652564554421,3.51618640068946e-07,2.75967356902597e-06,-0.264296098354796
"A0A0A0MRZ8;P04433",-0.000556628909722913,0.000106374418922463,3.63593043692433e-07,2.76972347989236e-06,-0.291416463601352
"A0A0A0MS15",-0.000904865633441364,0.000185770517349161,1.99447036439082e-06,1.09908047739835e-05,-0.26462721050984
"A0A0B4J1U7",-0.00104935426216174,0.000231287764846261,8.98670309332257e-06,3.94501034096703e-05,-0.259801751102119
"A0A0B4J1V0",-0.000565223034840297,0.000157249767394839,0.000395269942505168,0.00103409005160443,-0.215530303559486
"A0A0B4J1V0;A0A0B4J1V6;A0A0B4J1Y9",-0.000474573507388158,0.000117718563722196,7.4724869382031e-05,0.00023602123377983,-0.233347478143318
"A0A0B4J1V2",-0.000829033281367177,0.000165952531999138,1.11993449657764e-06,6.72490849909242e-06,-0.275139687784615
"A0A0B4J1X5",-0.000443941813302676,0.000146649016449813,0.00274501994202735,0.00582754233594332,-0.196969865827815
"A0A0B4J1X5;P01780",-0.00057046668466647,0.000114158617706065,1.14245549791532e-06,6.72490849909242e-06,-0.25835545272141
