"","SMWT_Estimate","SMWT_Std. Error","SMWT_Pr(>|t|)","SMWT_FDR","pcor"
"A0A075B6H7",0.000361192310494359,0.000220116077211295,0.101695360374233,0.217979990281496,0.114551897679702
"A0A075B6H9",-0.00112120178452783,0.000597992731014839,0.063122540555127,0.151377203738684,-0.147649668208189
"A0A075B6I0",0.00121174672167836,0.000485960362324601,0.0131008381587086,0.0490286711071813,0.100884922024494
"A0A075B6I9",0.000371875398913024,0.000366743652718295,0.311396520852162,0.466194791333584,0.0554222270782482
"A0A075B6J9",-0.00048480564271657,0.000539940999328705,0.370060484160305,0.532091895355202,-0.0506135466608881
"A0A075B6K4",-9.21124803519923e-05,0.00055788643486149,0.868984792902204,0.911202677577615,-0.00880782345456256
"A0A075B6K5",0.000112223939295304,0.000455263285479188,0.805489295768042,0.855007080343946,0.0346523811849971
"A0A075B6K5;P80748",0.000898504969181305,0.00031193332263483,0.00422784305504872,0.0202779879862522,0.179408985388619
"A0A075B6P5;P01615",0.00115248294611461,0.000502797627032847,0.0227401466352891,0.0764895841368816,0.141401647762972
"A0A075B6Q5",0.000545811433942375,0.00037783180835288,0.149696709289377,0.285084174308445,0.0769166206431858
"A0A075B6R2;A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08",0.000787775637146799,0.000269803727493851,0.00375586273207118,0.019073891129538,0.164416469331588
"A0A075B6R9;A0A0C4DH68",-5.10763592622179e-06,0.000359069323858739,0.988658823547418,0.992490834491401,0.0118096059929182
"A0A075B6S5;A0A0C4DH67",0.000371257026372004,0.000401637775949746,0.356131128745241,0.51819079969111,0.0673625043186417
"A0A075B7B8",0.00016497997020013,0.000235670429079218,0.484400943189198,0.58901335345541,0.0389137306034866
"A0A075B7B8;A0A0B4J1X5;A0A0J9YY99;P01764",0.000252322203712146,0.000197170118440152,0.201619059966421,0.337896492086076,0.0696118568160512
"A0A075B7D0",0.00017210967303835,0.000467960916186636,0.713290919902768,0.790690837353951,0.0255494170990335
"A0A087WSY6",0.000179080332245363,0.000240705456708796,0.45738652944404,0.575063646242749,0.0749790012492261
"A0A087WSZ0",0.000910749457055003,0.000462379003099935,0.0499865243497916,0.12946509806596,0.0946099722731693
"A0A0A0MRZ8;P04433",0.000225892328127377,0.000222523422459023,0.310713167469852,0.466194791333584,0.0835368025161139
"A0A0A0MS15",0.00137575996379117,0.000405317596036964,0.00077443475911427,0.00578634458344625,0.153931935515193
"A0A0B4J1U7",-0.000323501191234758,0.000443289118707364,0.465937806625068,0.576523092490748,0.0239805064734869
"A0A0B4J1V0",-2.20598998566776e-05,0.000333032003552167,0.947224873569353,0.958325165056494,0.0118606830859719
"A0A0B4J1V0;A0A0B4J1V6;A0A0B4J1Y9",-0.000151206763477752,0.000251387913383369,0.547915203326317,0.650792655233578,-0.020866997093171
"A0A0B4J1V2",0.000153767050412107,0.000364076241302313,0.673046931180856,0.767925793726175,0.0398013737349767
"A0A0B4J1X5",0.000105851809991842,0.000301103491066443,0.725388569737256,0.792182427055806,0.0589089632066877
"A0A0B4J1X5;P01780",0.000510757283711234,0.000263286145747043,0.0533659469297493,0.135507649556912,0.101898562143201
"A0A0B4J1X8;A0A0C4DH32;P01766;P01780;S4R460",0.000242393700197473,0.000212705497945145,0.255275486274625,0.393549708006713,0.0678161115662216
"A0A0B4J1Y9",0.000564694407225754,0.000339651426223607,0.0974347821782879,0.212063937682156,0.0554685292322344
"A0A0C4DH24",0.000626765806694045,0.000490430959568617,0.20221604738742,0.337896492086076,0.0951038423310691
"A0A0C4DH25;P01619",0.000108625353383909,0.000296493523246422,0.714369327956852,0.790690837353951,0.0304029056533734
"A0A0C4DH34",0.000269209324211078,0.000327443376917204,0.41168737974411,0.549623872957342,0.038026677457108
"A0A0C4DH36",0.000416246701226461,0.000329449534714991,0.207307191346359,0.344183093325045,0.0594473698747304
"A0A0C4DH38",0.000486674129194056,0.000296639168403478,0.101836211675911,0.217979990281496,0.12749112648575
"A0A0C4DH38;A0A0J9YXX1",0.000315125954398536,0.000366745810237185,0.390894790471652,0.54101502937905,0.063960201499955
"A0A0C4DH43",0.000266860148822818,0.00072053858661375,0.711328508576013,0.790690837353951,0.0385165140382833
"A0A0C4DH67",0.000749577585360163,0.000412134213718905,0.0699681974041635,0.163259127276382,0.0787358571950048
"A0A0C4DH73;P01597;P01611;P04432",0.0010575011650289,0.000404602249420788,0.00946580669841902,0.0383069364826645,0.154234239790658
"A0A0G2JRQ6",0.00038899258976237,0.000300797450143829,0.196866596854244,0.333257833890518,0.114512589091386
"A0A0J9YX35",0.000110245044720009,0.000282932877543928,0.697029602615949,0.784915943815351,0.0519951537276905
"A0A0J9YY99",0.00048309663425399,0.000308881244584465,0.118678447758179,0.238276883483475,0.13583466474029
"A0A0J9YY99;P01764",0.000266086830943238,0.000226712935917096,0.241374433923936,0.383533609731899,0.0507828470811652
"A0M8Q6;B9A064",0.000232785291595666,0.000275810113804763,0.399355162894992,0.5429460334978,0.0656110565788465
"ALBU_HUMAN;P02768",0.0003704615375225,0.000105664027973569,0.000522813456689076,0.00436802210588615,0.220591320154596
"ANT3_HUMAN;P01008",2.9829187193153e-05,0.000145671448556562,0.837896703901361,0.885776515552868,0.0267678576662926
"B2MG_HUMAN;P61769",4.7585036702908e-05,0.000442496658402044,0.914469140096899,0.943615566872896,0.00515155813488328
"B9A064",2.2773025359015e-05,0.000207639068720776,0.912739084746111,0.943615566872896,0.0272007083911213
"CO5_HUMAN;P01031",-0.000821055126063499,0.000131012761647569,1.15359175225776e-09,2.15930299505998e-07,-0.306527156792176
"CRP_HUMAN;P02741",-0.00235630679950087,0.000904555191231575,0.00992879224587836,0.0395624183335768,-0.189921687149903
"GELS_HUMAN;P06396",0.000440763798577839,0.000132026566537684,0.000937074490272891,0.00655952143191024,0.199784897924606
"HBA_HUMAN",-0.00034762833485185,0.000459342018757687,0.449847682384102,0.571130145771973,-0.0161335170631548
"HBB_HUMAN",-0.000516655340210595,0.000447155481151724,0.248962540778066,0.390536253559386,-0.0354490235142731
"HBB_HUMAN;P02042",-0.000543968938207738,0.000509273759727945,0.286438831222163,0.438980220630416,-0.0281112944951958
"IGF2_HUMAN;P01344",0.000348313581292849,0.000224990626076279,0.122591685886554,0.24424035880475,0.04243452866337
"LYSC_HUMAN;P61626",0.00012790054387983,0.000308929293069962,0.679249852937011,0.768234549828323,0.0526147796720828
"O00187",-0.000425365280424663,0.000252518412063712,0.0931488956197855,0.204453931911224,-0.0518027259157647
"O00391",-0.000181040912727547,0.00021951860247757,0.410272023954764,0.549623872957342,-0.0146399160940959
"O14791",-0.00016146617765567,0.000182004199875556,0.375568951177314,0.532091895355202,-0.0461717072664109
"O43866",0.000411300132431499,0.000293152208594339,0.16139379482183,0.298578520420385,0.0079671774007431
"O75636",-0.000264936988324884,0.000187643598248293,0.158984296061263,0.298383570143965,-0.0198783473231283
"O75882",-0.000399716609372488,0.000136446575754216,0.0036408525221915,0.018859616064952,-0.128629657727114
"O95445",0.000156568479556073,0.000173904898305178,0.368645234347749,0.532091895355202,0.0441574302986898
"P00450",-0.000537750107928921,0.000151542888527502,0.000433783170482555,0.00378481041586955,-0.198663452295558
"P00734",-0.000117078543095454,0.000136816247877021,0.392705890051202,0.54101502937905,-0.0792113807393663
"P00736",-0.0004935847492009,0.000120783142637066,5.66620700487595e-05,0.000917217258914295,-0.189364730549939
"P00738",-0.00143301872213176,0.000309493847465717,4.99936111917554e-06,0.00011771222998786,-0.267727891923066
"P00738;P00739",-0.00183550052379447,0.000300523190907713,2.50112316030114e-09,2.15930299505998e-07,-0.288030596007528
"P00739",0.000236975084129561,0.000281514815160301,0.400396495745482,0.5429460334978,0.0634511053689499
"P00740",-0.000668176247037629,0.000185050539915461,0.000358610916727503,0.00361638992678319,-0.176478304150175
"P00742",0.000245730607214281,0.000205791786116102,0.233392281179851,0.375457147984977,0.0383568822694231
"P00746",-0.000550804998469361,0.000282134442558286,0.0518633310174507,0.132996066668512,-0.0922333145835755
"P00747",-9.09721356110618e-05,0.000122996535083157,0.46002025747825,0.575580901868922,-0.0148954689815039
"P00747;P08519",-0.00012046609840361,0.000253868591735718,0.635521973188617,0.734822281499338,-0.00782744522182425
"P00748",7.84005532268613e-05,0.000236308117837224,0.740245033612238,0.802190224709496,0.0381901412307235
"P00751",-0.000675792583505299,0.00014531558032738,4.68986121396714e-06,0.00011771222998786,-0.24973181430099
"P01009",-7.66667317145356e-05,0.000156051950804616,0.623551156089301,0.727476348770851,-0.022692161674204
"P01011",-0.00052070149508652,0.000143896533608701,0.000342656763418537,0.00361638992678319,-0.213841687964015
"P01019",4.23135898971768e-05,0.000157862399050609,0.78883477457684,0.844248787666949,-0.0539302141968143
"P01023",0.000419354895389388,0.000158531827167572,0.00846841253463603,0.0353761104269473,0.0374889986829614
"P01023;P20742",0.000389498294210232,0.000189852760650826,0.0409211318473013,0.113963152133882,0.0310021568971221
"P01024",-0.000632475660634509,0.000108880762409198,1.31216761612186e-08,8.05258420897088e-07,-0.314805915841668
"P01042",-0.000163463336934998,0.000117514947068908,0.165161631009665,0.301245510081009,-0.081348234781385
"P01591",-0.000163101474352255,0.000242014437954679,0.500743355146652,0.603221065037129,-0.0987141481425384
"P01593;P01594",0.00121551286010441,0.000349009050945232,0.000574483092855733,0.00464972253280108,0.198436839680168
"P01597;P04432",0.000893576796545862,0.000466015078700397,0.056248599419133,0.140080646630341,0.100087364376184
"P01599",0.00018939108815302,0.000316746212524108,0.550284137050786,0.650792655233578,0.0784366178833749
"P01602",0.00056246047635149,0.000272127783718833,0.0395980972351544,0.112702276746209,0.121184036649952
"P01619",0.000238474842763783,0.000244697116026548,0.330506211037763,0.486369935561254,0.0698741526258785
"P01700",0.000157264238140221,0.000238615442009826,0.510274143340927,0.611856495950464,0.120658476803173
"P01703",0.000263047916678858,0.000365539069511766,0.47225420753913,0.579686444325283,0.0666849237778891
"P01714",-0.000378516692918454,0.000489491409094471,0.44014192209843,0.561743082755966,-0.041493100312627
"P01717;P01718",0.00063609750367004,0.000316737417094652,0.0454011895461647,0.121225856623264,0.176805943909951
"P01742",0.000432973027091584,0.000555568601524965,0.436404219814711,0.561743082755966,0.0622059872133198
"P01780",0.000644669652344609,0.00036533022216378,0.0786834767004986,0.178763337416045,0.0648327701065668
"P01833",-0.00127685323477565,0.000473548523748999,0.0073723890015408,0.0323635381593062,-0.164621316289998
"P01834",0.000419055432013999,0.000190709415759173,0.0286679059475859,0.0894576824147559,0.131164723207183
"P01857",0.000319921582048381,0.000218902814204318,0.144669711579791,0.277551520734561,0.185679075992466
"P01857;P01859;P01860",0.000555547052628625,0.000407505031234958,0.173885104336084,0.306368993354053,0.080815395298554
"P01857;P01859;P01860;P01861",0.000478578583470507,0.000299564918938978,0.111184051370184,0.227048283343709,0.100391440528508
"P01857;P01860",0.000619659944131468,0.000295672978049224,0.0369391092465708,0.106302547720687,0.125275330635634
"P01857;P01860;P01861",0.000622159255259248,0.000294635143460956,0.0355339158565539,0.103567739880131,0.148739899306317
"P01859",8.60871443145216e-05,0.000290329353886934,0.767009214788608,0.824296210084023,0.0596573206443217
"P01859;P01860;P01861",0.000574070422134798,0.00037963996637769,0.131432516856665,0.254037476611017,0.0736961934418719
"P01859;P01861",-4.45545667359345e-05,0.000475559484932637,0.925414070071899,0.951120016462785,0.0129023203364473
"P01860",-0.000110808160156515,0.000300610787424954,0.712603700220696,0.790690837353951,0.146025452208669
"P01861",0.00094330678282022,0.000495189897845445,0.0576164147735866,0.142120489774847,0.131755696415317
"P01871",0.00051295807785723,0.000259825218859987,0.0490873199584118,0.128420362315441,0.00293928869700407
"P01876",-0.000663679735228154,0.000229836317682866,0.00409120674339841,0.0199928782366073,-0.114448012520444
"P01876;P01877",-0.000683068124316811,0.000322494710300341,0.03490043507846,0.103567739880131,-0.0885831890675558
"P01877",-0.000574743707276133,0.000360206984598325,0.111332555925294,0.227048283343709,-0.0726613938847735
"P01880",0.00278499182425892,0.000711650174311046,0.000108594000504855,0.00133932600622655,0.178023543561728
"P02042",-0.000496860873498063,0.000567456201640255,0.382120048401805,0.532091895355202,-0.0253072873845235
"P02647",0.000134422746152123,0.000153311205229087,0.381275421430426,0.532091895355202,9.96183591041453e-06
"P02649",-0.000794302328460934,0.000207880484585183,0.000155519418155577,0.00183088769555884,-0.243818626956071
"P02652",0.000472558346604341,0.000201021407378284,0.0194659971935281,0.0690642914126545,0.127833654456388
"P02654",-0.000145610346015878,0.000205010267758155,0.478124221764232,0.584123459608189,-0.0235748879056476
"P02655",-0.00116393117707399,0.000351700207182901,0.00105600992280012,0.00719754131592717,-0.159991547178848
"P02656",-0.000433111258353913,0.000225706724975946,0.0558614151217363,0.140080646630341,-0.110994470822267
"P02671",-0.00012882151729953,0.000267065246351238,0.629909049967856,0.731598403325896,-0.0445142990869528
"P02675",-0.000647041069914846,0.000554020904411768,0.244501511597453,0.386133484778905,-0.0894381945654199
"P02743",-0.00062845670784549,0.000159871717679133,0.000101391649501411,0.00131302186104328,-0.141826917212305
"P02745",-0.000338447393523947,0.000188941292180872,0.0744333152285719,0.170603793311506,-0.0815637645252027
"P02746",-0.00028204864234306,0.000122224144717482,0.0216665125728109,0.0741220943330013,-0.0809912593920449
"P02747",-0.000100871693552611,0.000119115687774211,0.39771013556304,0.5429460334978,-0.0204752079022857
"P02748",-0.000967432618770051,0.00022003259176059,1.44479434061648e-05,0.000249467822813112,-0.252179762217947
"P02749",-0.000240246098326149,0.000157057205223398,0.127115991134049,0.249416982603929,-0.0806342577010656
"P02750",-0.000556824532632997,0.000241425373720694,0.0217501126228112,0.0741220943330013,-0.14402615101751
"P02751",-0.000360724259484989,0.000225261019956395,0.110474039361771,0.227048283343709,-0.0791504608978044
"P02753;RETBP_HUMAN",1.05058853171362e-05,0.00020956965265516,0.960047770844906,0.967518959723076,0.0421045090086522
"P02760",-0.000674113293811584,0.000131295879921267,4.77047695400018e-07,1.37283725676227e-05,-0.228728852880756
"P02763",-0.000750572973986121,0.000216989797802208,0.000620260557703128,0.00486810558924576,-0.177376011085721
"P02763;P19652",-0.000551195625162297,0.000259444396579754,0.0345592691388998,0.103567739880131,-0.0845161246877079
"P02765",0.000167288079708284,0.000138832288511448,0.229069249240254,0.373137959454251,0.111497793307436
"P02766",0.000227325971858381,0.000170644636721633,0.183807463226518,0.317374219837787,0.130314099390956
"P02774",-3.42718996566842e-07,0.000108869534854363,0.997489993820735,0.997489993820735,0.0425721715462833
"P02775",0.000470340431480036,0.000171435055923759,0.00637618497888274,0.0289724896408882,0.126537369842247
"P02776",0.000399349747134916,0.000320451809552839,0.2136711748502,0.352489390357973,0.0697167108505527
"P02776;P10720",0.00047344782524254,0.000210865457034705,0.0254266399969636,0.0823187469901698,0.121562036897921
"P02786",-0.000497138796859231,0.000359161128122526,0.167468140555573,0.303316422404848,-0.0607050576152201
"P02790",-0.000518893690315841,0.000113706008414891,6.9608666129375e-06,0.000138681880980832,-0.268757672823179
"P03951",-0.000380466103221797,0.0002225114692094,0.08834024998913,0.195556621770809,-0.0839892178036681
"P03952",-0.00024475655765426,0.000132563557939658,0.0657441955791303,0.154797696863589,-0.118251529725462
"P04003",-0.000838987333828971,0.000147413972275662,2.92353567327021e-08,1.26199289896164e-06,-0.287719911219766
"P04004",-0.000287464658691345,0.000142214563179176,0.0440702560961322,0.120243913859821,-0.122174286480003
"P04070",-0.00021701296137404,0.000274283779976424,0.429484890372615,0.561743082755966,-0.0263051874722122
"P04114",-0.000450034827857249,0.000163083723434109,0.00606263911925315,0.0280397059265458,-0.13634002529711
"P04180",-0.000604326759191069,0.000152817826776483,9.5613494251734e-05,0.00130336289532627,-0.216547213863279
"P04196",-0.00025239146256237,0.000193532023060205,0.193076863831839,0.328992814029252,-0.068286119442904
"P04217",-0.000406731403700225,0.000102802864963177,9.42225979394748e-05,0.00130336289532627,-0.222931473931896
"P04275",-0.000932138383450687,0.000411554604560461,0.0242766913199911,0.0795906715427557,-0.114770175557575
"P04278",0.00122836356513299,0.00047025426300174,0.00936328671375639,0.0383069364826645,0.101453647101673
"P04430",0.000381200455637065,0.000369883628178604,0.303495763212542,0.462384721600285,0.0700958873913834
"P05090",0.000457558884421152,0.000187236770840836,0.0150020891582778,0.0547259308731541,0.163568157080001
"P05109",-0.000958374250790881,0.000480644277573815,0.0471911254147861,0.124719402881935,-0.126813906663046
"P05154",-0.000327314208478524,0.000187217197568745,0.0814784452952532,0.183503628969309,-0.0768328481170177
"P05155",-0.000272299527991722,0.000144600179900092,0.0604551937133561,0.146335468894946,-0.155937602259851
"P05156",-0.000890512684153717,0.000144871754369697,2.36531905463384e-09,2.15930299505998e-07,-0.307070152044848
"P05160",-0.000139176988465805,0.000174298246206553,0.425201711429258,0.561743082755966,-0.0176164741835767
